Instruction,Response
Complete the following sentence,"Can you buy peace of mind? Can you remove fear surgically or mechanically? What destroys our peace of mind is anger and fear. If we cultivate compassion and love, we can counter anger and fear. So, we need to educate people about the way the mind works and our system of emotions."
Complete the following sentence,"If we can develop inner peace, we can build on it to create world peace. Many experts agree that our current education systems are inadequate. What we require is a more universal approach to human values that can appeal to everyone. There are grounds for hope."
Complete the following sentence,My conversation with Greta Thunberg brought together scientists and spiritual thinkers to take a fresh look at the environmental crisis that we are all facing. From this came 'A Future We Can Love'—a book offering hope to all. Join us in creating a brighter future.
Complete the following sentence,"Today, we need to cultivate a sense of the oneness of humanity and work together to meet the challenges that affect us all. Scientists have warned about the climate crisis for some time. We cannot simply exploit this planet and its natural environment, we must take care of them."
Complete the following sentence,"Our aim is to be happy—to find peace of mind. I'm not talking about the next life, or anything to do with God, but about being peaceful, happy individuals here and now."
Complete the following sentence,"I wholeheartedly welcome the recent statement from the G7 Leaders’ summit in Hiroshima, Japan, calling for a “world without nuclear weapons”."
Complete the following sentence,"Education should include training in how to be calm and unafraid. Since scientists now recognise the significance of warm-heartedness and peace of mind in personal and social well-being, it’s time training to cultivate such qualities was included in the general education system."
Complete the following sentence,"If you try to subdue your selfish motives—anger, and so forth-and develop more kindness and compassion for others, ultimately you yourself will benefit more than you would otherwise. So sometimes I say that the wise selfish person should practise this way."
Complete the following sentence,"My simple religion is that there is no need for temples; no need for complicated philosophy. Our own brain, our own heart are our temple; and our philosophy is kindness."
Complete the following sentence,"Reason and analysis can help us understand the benefits of compassion. We learn that it yields peace of mind, which leads to inner strength—so fear and suspicion are reduced. If you think about it, you may see that destructive emotions are closely related to self-centredness."
Complete the following sentence,"Every human activity can be infused with affection. Today, all 8 billion human beings have to live together, so a sense of the oneness of humanity is crucial. When people are motivated by compassion—honesty and truthfulness naturally come about leading to trust and friendship."
Complete the following sentence,Compassion is the basis of courage and determination—qualities we require because suffering cannot be overcome immediately. We have to be realistic. We must seek out its causes and uproot them—something we human beings can do because we have intelligence and self-confidence.
Complete the following sentence,"I believe that if we make an effort to develop peace of mind within ourselves and cultivate a proper appreciation of the oneness of humanity, we can create a happier, more peaceful world. What we need is common sense—the positive use of intelligence—and warm-heartedness."
Complete the following sentence,"All 8 billion human beings alive today are brothers and sisters. We’re physically, mentally and emotionally the same. We all want to live a happy life and avoid suffering and we all have a right to fulfil that wish. So, it's important to acknowledge the oneness of humanity."
Complete the following sentence,"Wherever I go I consider whoever I meet to be another human being like me. We all want to live a happy life. We all respond to smiles, so wherever I go, I smile. Even when we don't share a language, we can communicate our friendship by smiling."
Complete the following sentence,"The source of a happy life is within us. Troublemakers in many parts of the world are often quite well-educated, so it is not just education that we need. What we need is to pay attention to inner values."
Complete the following sentence,"There are no natural boundaries between human beings on this earth, we are one family. At a time of increasing natural disasters, climate change and global warming affect all of us. We must learn to live together, to work together, and to share what we have together."
Complete the following sentence,"Human beings are social animals. What brings us together is love and affection—anger drives us apart. Just as we employ physical hygiene to protect our health, we must use ‘emotional hygiene’ to tackle our destructive emotions and achieve peace of mind."
Complete the following sentence,"I believe in altruism. No matter how capable a person may be, no one can survive alone. We depend on the community in which we live. By dedicating ourselves to the welfare of others, we actually bring about our own benefit."
Complete the following sentence,"If children only sharpen their brains at school, there’s no guarantee they won’t go on to make trouble. To balance their keen brains, they need a warm heart. The more compassionate they learn to be, the more useful members of society they’re likely to become."
Complete the following sentence,"It's important to recognize that if human conflicts are created by the misuse of human intelligence, we can also utilize our intelligence to find ways and means to overcome them. When human intelligence and human goodness are used together, all our actions become constructive."
Complete the following sentence,"Each of us must learn to work not just for his or her own self, family, or nation, but for the benefit of all humankind. Universal responsibility is the real key to human survival. It is the best foundation for world peace."
Complete the following sentence,"Compassion and love are not a luxury; they are essential to our existence. Without a sense of caring, there can be no sense of community. We must learn to work not just for our own self, family, or nation, but for the benefit of all humankind."
Complete the following sentence,"A meaningful life is not about material gain, power or fame; these are only of passing value. True meaning comes from an inner sense of peace and contentment, which in turn must be based on a sense of caring and love for others."
Complete the following sentence,"We must strive to cultivate feelings of kindness, compassion, and love for others, viewing our fellow human beings as brothers and sisters, regardless of their race, nationality or religion. A warm heart can bring joy to our own lives and to the lives of those around us."
Complete the following sentence,"Compassion is a state of mind unable to bear the sufferings of others. If we all had more compassion, there would be greater peace in the world."
Complete the following sentence,I offer my condolences to those families who have lost loved ones and pray for all those affected by the devastating earthquakes that have struck Turkey and Syria.
Complete the following sentence,"It is important to be honest and truthful in all our dealings with others. A meaningful life is one that is based on moral integrity, honesty and truthfulness."
Complete the following sentence,"Cultivating a close, warmhearted feeling for others automatically puts the mind at ease. It helps remove whatever fears or insecurities we may have and gives us the strength to cope with any obstacles we encounter. It is the principal source of success in life."
Complete the following sentence,"Compassion is the source of true joy, peace and happiness. It is the foundation of a good heart, the essence of a meaningful life, and the fundamental principle for creating a better world."
Complete the following sentence,"It is important to cultivate the inner values of patience, tolerance, forgiveness, contentment, and self-discipline. These inner values help us to remain calm and composed in difficult situations and to be free from the negative emotions of anger, jealousy and hatred."
Complete the following sentence,"Today, on #MartinLutherKingDay let's remember how Dr King was not only a great leader of the American Civil Rights movement, but also a committed proponent of nonviolence. Like millions of people throughout the world I admire his dream of greater justice and equality for all."
Complete the following sentence,We need to think of the welfare of others and continuously cultivate a warm heart; to be of service to others is a practical and realistic way to lead our lives.
Complete the following sentence,"Everyone has some interest in peace of mind. To maintain such inner peace, we have to learn that it is destructive emotions like anger and suspicion that disturb our minds, while compassion brings peace and self-confidence."
Complete the following sentence,"From the moment of our birth, love and compassion are important as the basis of our survival. It's fundamental human nature to be compassionate. Scientists say that since human beings are social creatures, they naturally care for others. We can't survive by ourselves."
Complete the following sentence,"When they are young, children love to smile and readily respond to compassion. We must find ways to keep these qualities alive so they maintain a compassionate attitude and learn how to tackle anger as they grow up. Time at school should include methods to achieve peace of mind"
Complete the following sentence,"As human beings we are all fundamentally compassionate. We have to build a world founded on human values—a world no longer dependent on the use of weapons. When people fight and die, their minds are not at peace, but we can imagine building a world based on compassion."
Complete the following sentence,"To achieve justice without losing compassion, what’s important is to avoid doing harm. Helping sentient beings can be a source of great satisfaction. All of us, animals as well, have basic rights that we need to protect."
Complete the following sentence,"When we think about fear, there are two types, legitimate fear for which there is some valid basis and fear that is rooted in our mental projections. There’s a Tibetan saying that if you let your mind run wild, you’ll see a robber in an empty house."
Complete the following sentence,"When you think of others, you no longer think only of yourself. When we face problems, we can use our intelligence to overcome them. We have to tell ourselves, ‘I’m a human being and I’m not alone’. We need never feel hopeless."
Complete the following sentence,The root of peace of mind is compassion. As soon as most of us are born our mothers take care of us and give us our first lessons in compassion. Without this we would not survive. This is how our life begins.
Complete the following sentence,"As a Buddhist monk, I’m dedicated to promoting inter-religious harmony. All religions accept the value of warm-heartedness. Some believe in God; others have faith in karma. When I hear about fighting among religious people, I feel very sad—as if medicine has become poison."
Complete the following sentence,"Now we have to think about the future without copying the past. We have to take a broader perspective, not only concerning ourselves with my nation, my community and so on. We have to think about the whole of humanity; the oneness of all human beings."
Complete the following sentence,"Generally speaking, whether or not technology can be thought of as good or bad depends on how it is used. We human beings should not be slaves to technology or machines. We should be in charge."
Complete the following sentence,"The basic orientation of our hearts needs to be altruistic. The peace of mind that results from this brings us physical comfort too. We have better health and sounder sleep, and we can make the best use of our inner resources."
Complete the following sentence,"As soon as I wake every morning, I remind myself that all human beings are the same as me—we all want to be happy. I resolve to use my life to ensure that other beings are happy. It’s compassion that brings about peace of mind, not anger and hatred."
Complete the following sentence,"It is important to avoid doing harm to sentient beings, helping them can be a source of great satisfaction. All of us, animals as well, have basic rights that we need to protect."
Complete the following sentence,"We are all here on this planet, as tourists, as it were. None of us can live here forever. The longest we might live is a hundred years. So while we are here we should try to have a good heart and to make something positive and useful of our lives."
Complete the following sentence,"Despite different cultures and different political and economic systems, we’re all basically the same. The more people I meet, the stronger my conviction becomes that the oneness of humanity, founded on understanding and respect, is a realistic and viable basis for our conduct."
Complete the following sentence,"I offer my sincere congratulations to the winners of this year’s Nobel Peace Prize: Mr. Ales Bialiatski from Belarus; Memorial, a human rights advocacy group in Russia; and the Center for Civil Liberties, also a human rights advocacy group in Ukraine."
Complete the following sentence,"I am very pleased to learn that this year’s Nobel Prize in Physics has been awarded to three scientists, Alain Aspect, John Clauser and my friend, Anton Zeilinger for their work in laying the foundation for a new era of quantum technology."
Complete the following sentence,How we live from day to day affects our future. Warm-heartedness is the key factor. I think about it always because it’s warm-heartedness that brings us peace of mind.
Complete the following sentence,"Love can be defined as a wish that others be happy; compassion is the wish that they be free from suffering. If you cultivate love and compassion within yourself, it will ensure happiness, good health and peace of mind."
Complete the following sentence,"As we come to recognize the oneness of humanity, our motivation to find peace will grow stronger. Sisters and brothers must share each other’s suffering. Mutual respect, trust, and concern for one another’s welfare is our best hope for lasting world peace. #PeaceDayChallenge"
Complete the following sentence,"Scientists have found evidence that those who cultivate love and compassion have greater peace of mind, while constant anger and fear make us uneasy and are bad for health. Common sense too tells us that people who are moved by love and compassion are peaceful and happy."
Complete the following sentence,On the occasion of Indian Prime Minister Narendra Modi's seventy-second birthday I have written to him to offer my warmest good wishes and prayers for his continued good health.
Complete the following sentence,"We must educate our young children in the practice of compassion on a worldwide scale. Teachers and parents can instill in children real, warmhearted human values to tremendous benefit. We need a transformation in commitment to the universal values of compassion and love."
Complete the following sentence,"It is with deep sadness that I have learned this morning that Queen Elizabeth II, has passed away. I pray for her and offer heartfelt condolences to His Majesty Charles III, the Royal Family and the people of the United Kingdom."
Complete the following sentence,"All 7 billion human beings have a common experience—we all appreciate love. We all have a seed of love and affection within us and the potential to cultivate greater love and compassion. If we want to create peace in the world it has to start with the heart, with inner peace."
Complete the following sentence,"Compassion brings strength to our minds by lessening fear, increasing confidence and so on. Doubts and irrational thinking decline. As a result, in the company of others the mind is relaxed, there are feelings of closeness, and we have a feeling that life has meaning and purpose."
Complete the following sentence,"If our mind is not peaceful and tamed, no matter how marvelous the external circumstances are, we will be burdened by frights, hopes, and fears. With a tamed mind, we will enjoy wealth or poverty, health or sickness; we can even die happily."
Complete the following sentence,"No one can afford to disregard compassion, affection, and so on. Why? Because kindness and compassion are the main qualities necessary in life. A good mind, enriched by love and compassion, is essential for human beings."
Complete the following sentence,"We need to think of each other as true sisters and brothers, and to be concerned with each other’s welfare. Rather than working solely to acquire wealth, we need to do something meaningful, something seriously directed toward the welfare of humanity as a whole."
Complete the following sentence,"We need to think of each other as sisters and brothers, and to be concerned with each other’s welfare. We must seek to lessen the suffering of others. Rather than working to acquire wealth, we need to do something meaningful, directed toward the welfare of humanity as a whole."
Complete the following sentence,"The past is past; nothing can change it. But the future depends on the present; we still have the opportunity to shape it. This is not a matter of employing technology or spending more money, it's a question of developing a sense of concern for others' well-being"
Complete the following sentence,"If you practice compassion, whether you believe in a religion or not, you will come to realize the value of compassion for your own peace of mind. Even a small act of compassion grants meaning and purpose to our lives."
Complete the following sentence,"When you have a peaceful and tamed mind, life is more pleasant for your friends, spouse, parents, children, and acquaintances; your home is quiet, and all who live there enjoy an excellent sense of relaxation. Upon entering your house, others feel a sense of happiness."
Complete the following sentence,"A sense of universal responsibility has the power to negate adverse traits such as selfishness, deceiving others, abuse, and so on. There will be no need to be afraid. Life becomes meaningful, and households, communities, and nations, large and small, become happier."
Complete the following sentence,"Of course, we are driven by self-interest, it's necessary to survive. But we need wise self-interest that is generous and co-operative, taking others' interests into account. Co-operation comes from friendship, friendship comes from trust, and trust comes from kind-heartedness."
Complete the following sentence,Compassion naturally gives rise to tolerance and forgiveness. It allows us to appreciate that even someone we think of as an enemy is a human being with a right to be happy. Your enemy can be your best teacher because he or she teaches the possibility of unconditional compassion.
Complete the following sentence,"If we look at the buildings we live and work in, the roads we travel, the clothes we wear, or the food we eat, we must acknowledge that all are provided by others. None would exist for us to enjoy and make use of were it not for the kindness of so many people unknown to us."
Complete the following sentence,Always having feelings of closeness to others and maintaining a loving mind is the sole foundation for building everything we wish for. Focusing on small differences in outer appearances to divide and discriminate is nothing but ignorance.
Complete the following sentence,"We are all basically the same. We all have the same human mind. It is true that external influences—one’s surroundings and so forth—are important, but ultimately the nature of mind itself is more important. Each and every one of us has the same potential, the same mental quality."
Complete the following sentence,"The only way to effectively deal with negative emotions, the only way to really reduce them, is through the mind, through the application of counteractive mental states that oppose the negative emotions affecting us. That’s the only real, long-term way to reduce them."
Complete the following sentence,"If we take a sense of universal altruism seriously, where is there room to have enemies? Our real enemies and the enemies of humanity are negative emotions like anger and hatred. Indeed, people who are dominated by powerful negative emotions should be objects of our compassion."
Complete the following sentence,"Satisfaction is characterized by inner peace. It arises from generosity, honesty and what I call ethical conduct, a way of behaving that respects others’ right to be happy."
Complete the following sentence,Many of the problems we face are of our own creation. They come about because of a lack of compassion. That’s why I’m dedicated to promoting both compassion and non-violence in a secular context grounded in reason.
Complete the following sentence,"Various emotions are part of our mind and part of our life. Jealousy that amounts to competitiveness can stimulate us to achieve more—then it’s good. When the result is that we try to harm others to beat them, it’s to be avoided."
Complete the following sentence,"In the past, our nations were more or less independent of each other. People lived in villages that were self-sufficient. So, the words 'we' and 'us' referred to a small circle of people. Today, the reality is different we are all brothers and sisters and we have to live together"
Complete the following sentence,"Various emotions are part of our mind and part of our life. Jealousy that amounts to competitiveness can stimulate us to achieve more—then it’s good. When the result is that we try to harm others to beat them, it’s to be avoided."
Complete the following sentence,"We have to remember that each and every one of us is part of humanity. We must be determined to achieve positive change, but also to take a long view of what needs to be done. What is important is not to become demoralized. Optimism leads to success; pessimism leads to defeat."
Complete the following sentence,"For most of us, our mother is our first teacher. My mother first showed me compassion and one of the things about her was that she always presented a kind face. As human beings, our lives begin in the shelter of our mother's care and affection, without which we would not survive."
Complete the following sentence,"I believe that human nature is fundamentally gentle and compassionate, but it is not enough that this is our underlying nature; we must also develop an appreciation and awareness of that fact, which can have a very real impact on how we conduct our daily lives."
Complete the following sentence,"Warm-heartedness is not blind when it is combined with intelligence. We view behaviour as harsh or gentle largely on the basis of appearances, but the real distinction depends on the motivation with which it is done."
Complete the following sentence,"We must continually consider the oneness of humanity, remembering that we all want to be happy. And indeed, everyone has a right to a happy life. We may face problems, but we must not lose hope. We must keep up our determination without being impatient to achieve quick results."
Complete the following sentence,"My favorite prayer says: ""For as long as space endures, And for as long as living beings remain, Until then may I too abide, To dispel the misery of the world."" And, in trying to fulfill that aspiration, I feel my life has been of some benefit."
Complete the following sentence,"The real source of peace of mind is love and compassion; not the love we feel for those who are close and already affectionate towards us, but an unlimited sense of altruism, a love that can be extended to all beings, including your enemy, which only human beings are capable of."
Complete the following sentence,"That the air we breathe, the water we drink, the forests and oceans which sustain countless life forms, and the climatic patterns that govern our weather systems all transcend national boundaries is a source of hope — no country can afford not to take action in this context."
Complete the following sentence,"The fact that inner peace is the principal characteristic of happiness, explains the paradox that while we can all think of people who remain dissatisfied, despite having every material advantage, there are others who remain happy, despite the most difficult circumstances"
Complete the following sentence,"Warm-heartedness leads to a healthy mind. Peace of mind allows us to sleep soundly. I’m not talking about the benefits of the next life or of finding God, but of being a peaceful person with a calm mind and a warm heart here and now."
Complete the following sentence,"Giving is recognized as a virtue in every major religion and in every civilized society, and it clearly benefits both the giver and the receiver. The one who receives is relieved from the pangs of want. The one who gives can take comfort from the joy their gift brings to others."
Complete the following sentence,"Compassion is to have a sense of concern for others and the community. Look at today's world—we are interdependent. We can't think only of my nation's interests. We have to take the whole world into account. Let us live happily together, helping each other rather than fighting."
Complete the following sentence,"Times change and reality changes. In the past, social customs and cultural tradition may have held women back, but modern times favor equality and education has brought equality of opportunity. Now is the time to change our old ways of thinking—gender, color, no difference."
Complete the following sentence,"One of the commitments that guide my life is to promoting human values based on common sense and scientific findings. What we need is more self-confidence, which comes from concern for others' well-being. The real source of inner strength and self-confidence is warm-heartedness."
Complete the following sentence,"We may sometimes feel that we can't do much as individuals, but humanity is made up of individuals; together we can make a difference. As individuals we can influence our own families. Our families can influence our communities and our communities can influence our nations."
Complete the following sentence,"True compassion is not just an emotional response but a firm commitment founded on reason. Therefore, our compassion for others does not change even if they behave negatively. Our sense of responsibility gives rise to a wish to help others actively overcome their problems."
Complete the following sentence,The basis of moral principles is to have a real concern for the well-being of others and an appreciation of the oneness of humanity. Whether science or religion is constructive or destructive depends on our motivation and whether we are guided by moral principles.
Complete the following sentence,"We share this one planet, our only home so we have to take better care of it. We must cultivate compassion not only for our fellow human beings, but also for the other animals, birds and insects with whom we share the world. Concern for others is necessary for our survival."
Complete the following sentence,"We live in hope, hope that something good will happen. As human beings we must be realistic and use our intelligence to look at things from different angles in order to see a more complete picture, but it is more constructive to remain hopeful than to become pessimistic."
Complete the following sentence,"I would regard a compassionate, warm, kindhearted person as healthy. If you maintain a feeling of compassion, loving kindness, then something automatically opens your inner door. Through that, you can communicate much more easily with other people."
Complete the following sentence,"When we care for others, we manifest an inner strength despite any difficulties we face. Our own problems will seem less significant and bothersome to us. Reaching beyond our own problems and taking care of others, we gain confidence, courage and a greater sense of calm."
Complete the following sentence,Venerable Thich Nhat Hanh lived a truly meaningful life. I have no doubt the best way we can pay tribute to him is to continue his work to promote peace in the world.
Complete the following sentence,"We have to make an effort to extend our natural compassion, not just through prayer or coining nice words, but by putting our intelligence to good use. That’s how we’ll become happy ourselves, living in a happy family, a happy community and a happier world."
Complete the following sentence,"We can learn from the great achievements of Martin Luther King Jr. to recognize that non-violence is the best long-term approach to redressing injustice. If the twentieth century was a century of violence, let us make the twenty-first a century of dialogue."
Complete the following sentence,"One of my commitments is to promote human values based on common sense and scientific findings. What we need is more self-confidence, which comes from concern for others' well-being. The real source of inner strength and self-confidence is warm-heartedness."
Complete the following sentence,"Materialistic values cannot give us peace of mind. So we really need to focus on our inner values, our true humanity. Only this way can we find peace of mind—and more peace in our world. A lot of the problems we are facing like war and violence are our own creation."
Complete the following sentence,"The ultimate source of happiness is within us. Not money, not power, not status. Some of my friends are billionaires, but they are very unhappy people. Power and money fail to bring inner peace. Outward attainment will not bring real inner joyfulness. We must look inside."
Complete the following sentence,"From the moment of birth, every human being wants to discover happiness and avoid suffering. No differences in our culture our education or our religion affect this. From the core of our being, we desire joy & contentment. But so often these feelings are fleeting and hard to find"
Complete the following sentence,"My favourite prayer says: ""For as long as space endures, And for as long as living beings remain, Until then may I too abide, To dispel the misery of the world."" And, in trying to fulfil that aspiration, I feel my life has been of some benefit."
Complete the following sentence,"Material development and physical comfort alone don't relieve unhappiness, but if you’re relaxed and have peace of mind, whatever goes on around you won't upset you. It isn't the sophistication of the devices we own that brings us peace of mind, it's love and compassion."
Complete the following sentence,"Our lives depend on hope. If you have hope, you'll be able to overcome problems you face. But if you're without hope, your difficulties will increase. Hope is linked to compassion and loving kindness. In my life, I've faced all sorts of difficulties, but I never gave up hope."
Complete the following sentence,"The impulse to try to solve problems by use of force is out of date and old-fashioned. Since we are now all so interdependent, the appropriate solution is to engage in dialogue—it’s something to which we can all contribute."
Complete the following sentence,"If the education system fostered inner peace, compassion and non-violence, or the idea of doing no harm, students would learn how to achieve peace of mind. This is what is required if we are to fulfil the goal of a genuinely peaceful and demilitarized world."
Complete the following sentence,"If we focus too much on ourselves, we’ll not be happy, whereas to concern ourselves with the well-being of others is the gateway to great joy. If we’re really serious about happiness, we need to open our hearts and focus on others as well as ourselves."
Complete the following sentence,Cultivating compassion is not a religious practice focused on ensuring we go to heaven or a good future life. It’s about living a good day-to-day life here and now. It’s about being a happy person. Warm-heartedness is a fundamental good human quality.
Complete the following sentence,"Someone may be very rich and powerful but without any trusted friends they will never be happy. Someone else may be poor but if they are surrounded by trusting friends they’ll be happy. Therefore, taking care of others is the best way to fulfil our own interests."
Complete the following sentence,"One of my commitments is to promote human values based on common sense and scientific findings. What we need is more self-confidence, which comes from concern for others' well-being. The real source of inner strength and self-confidence is warm-heartedness."
Complete the following sentence,"We’re social creatures, we depend on each other, which is why we need a sense of concern for others’ well-being. Compassion is what’s important and you don’t have to be religious to practise it. Practising compassion here and now—living a meaningful life—is what is most important"
Complete the following sentence,"If we make consistent effort, based on proper education, we can change the world. We are selfish, that’s natural, but we need to be wisely selfish, not foolishly selfish. We have to concern ourselves more with others’ well-being, that’s the way to be wisely selfish."
Complete the following sentence,"The only thing that will bring happiness is affection and warmheartedness. When you have a more compassionate mind and cultivate warmheartedness, the whole atmosphere around you becomes more positive and friendlier. You see friends everywhere."
Complete the following sentence,"Anger and aggression sometimes seem to be protective because they bring energy to bear on a particular situation, but what needs to be acknowledged is that that energy is blind. It takes a calm mind to be able to consider things from different angles and points of view."
Complete the following sentence,"Materialistic values cannot give us peace of mind. So we really need to focus on our inner values, our true humanity. Only this way can we have peace of mind—and more peace in our world."
Complete the following sentence,"Please don’t think that compassion, love and tolerance only belong to religion. They belong to human life. From compassion we develop self-confidence; that brings inner strength, allowing us to act with transparency and candour."
Complete the following sentence,"In order to develop our mind, we must look at a deeper level. Everyone seeks happiness, joyfulness, but from outside—from money, from power, from big car, from big house. Most people never pay much attention to the ultimate source of a happy life, which is inside, not outside."
Complete the following sentence,"These days it’s realistic to work for co-existence on global level. It’s no longer appropriate to thinking only of ‘my country’. We must educate the young in the ways to achieve genuine world peace, taking the entire world, the whole of humanity, into account on a global level."
Complete the following sentence,"Everyone wants to live in a peaceful world, but it’s necessary to understand that what destroys peace is anger and hatred. This is why the long term goal is to create inner peace within individuals, so contributing to a more compassionate humanity."
Complete the following sentence,"What’s past is past, nothing can change that. But the future can be different if we choose to make it so. We have to cultivate a vision of a happier, more peaceful future and make the effort now to bring it about. This is no time for complacency, hope lies in the action we take."
Complete the following sentence,I don’t like formality. There’s no formality when we’re born and none when we die. In between we should treat each other as brothers and sisters because we all want to live a happy life. This is our common purpose and our right.
Complete the following sentence,"If you are motivated by a wish to help on the basis of kindness, compassion and respect, then you can do any kind of work, in any field, and function more effectively with less fear or worry, not being afraid of what others think or whether you will ultimately reach your goal."
Complete the following sentence,"In my experience, what we need is a calm mind and warm-heartedness provides a basis for that. That's how we make ourselves happy as individuals in families, local communities and nations. If we can train those who are young today in these qualities we’ll create a happier world."
Complete the following sentence,"When affectionate relations exist between members of a family, each one is confident of being able to call on the others for support. In a similar way, we must constantly remind ourselves of the oneness of humanity."
Complete the following sentence,"Negative emotions like attachment and anger are part of our lives, but there are antidotes to them. We need to reflect not only on the damage anger and fear can do, but also on the benefits to be found in cultivating compassion and non-violence and find a balance between them."
Complete the following sentence,"Creating a more peaceful world requires a peaceful mind and a peaceful heart. As human brothers and sisters we must live together with affection and respect. The only way to solve human problems and preserve the peace is to meet, talk and engage in dialogue. #PeaceDayChallenge"
Complete the following sentence,"Everyone wants to live in a peaceful world, but it’s necessary to understand that what destroys peace is anger and hatred. This is why the long term goal is to create inner peace within individuals, so contributing to a more compassionate humanity."
Complete the following sentence,"The direction of our lives needs to be positive. We weren’t born to cause trouble or do harm to others. For our life to be of value, I think we must develop good human qualities – warmth, kindness, compassion. Then our life will become meaningful and more peaceful – happier."
Complete the following sentence,"We all have a responsibility to educate our human brothers and sisters. Inner values are the ultimate source of happiness, not money and weapons, whether you’re talking about individuals or the whole of humanity."
Complete the following sentence,"Even though our society doesn’t emphasize it, the most crucial use of knowledge and education is to understand the importance of more wholesome action and disciplining the mind—essentially the development of a good heart."
Complete the following sentence,"The direction of our lives needs to be positive. We weren’t born to cause trouble or do harm to others. For our life to be of value, I think we must develop good human qualities – warmth, kindness, compassion. Then our life will become meaningful and more peaceful – happier."
Complete the following sentence,"It can sometimes seem as if one person will not be very effective. However, change in the world always begins with an individual who shares what he or she has learned and passes it on to others."
Complete the following sentence,"As soon as I wake up, I think about altruism. I reflect on the verse that says, ""So long as space remains, I will remain in order to serve sentient beings."" This gives me inner strength and determination, so there’s no longer any danger of destructive emotions arising."
Complete the following sentence,"Helping others brings deep satisfaction. No matter how powerful we may seem to be, our survival depends on the community. Clearly the community is crucial to individual happiness, so if we make others happy, we too derive benefit."
Complete the following sentence,"Peace in the world depends on peace within. If we have that we’ll approach problems in a spirit of dialogue, compassion and respect for the rights of others—always a better solution than resorting to a use of weapons and force. External disarmament depends on inner disarmament."
Complete the following sentence,We should show one another love and help each another. It is a mistake to pursue happiness and to seek to the avoid suffering by deceiving and humiliating other people. We must try to achieve happiness and eliminate suffering by being generous and warm-hearted.
Complete the following sentence,"Since we desire the happiness that comes from having a calm mind, and such peace of mind arises only from having a compassionate attitude, we must make a concerted effort to develop compassion. We must use all the events of our daily life to transform our thoughts and behavior."
Complete the following sentence,"Education today needs to include principles such as compassion and non-violence. What’s more, since we are missing something if we are physically fit, but full of anger and anxiety, we need to learn about emotional hygiene, tackling destructive emotions to find peace of mind."
Complete the following sentence,"Like anyone else, I too have anger in me. However, I try to recall that anger is a destructive emotion. Scientists say anger is bad for our health; it eats into our immune system. It destroys our peace of mind. We shouldn't welcome it or think of it as natural or as a friend."
